msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
A repeating timer or just once?,,,,A repeating timer or just once?,SOLITARY,
A required tool (%s) was not found.,,,,A required tool (%s) was not found.,SOLITARY,
A search for available updates is currently in progress.,,,,A search for available updates is currently in progress.,SOLITARY,
A second configured interface has been found.\n\nDo you want to disable the second network interface?,,,,A second configured interface has been found.\n\nDo you want to disable the second network interface?,SOLITARY,
A sleep timer wants to set your\n%s %s to standby. Proceed?,,,,A sleep timer wants to set your\n%s %s to standby. Proceed?,SOLITARY,
A sleep timer wants to shut down\nyour %s %s. Proceed?,,,,A sleep timer wants to shut down\nyour %s %s. Proceed?,SOLITARY,
A small overview of the available icon states and actions.,,,,A small overview of the available icon states and actions.,SOLITARY,
A timer failed to record!\nDisable TV and try again?\n,,,,A timer failed to record!\nDisable TV and try again?\n,SOLITARY,
AAC downmix,,,,AAC downmix,SOLITARY,
AAC transcoding,,,,AAC transcoding,SOLITARY,
AC3,,,,AC3,SOLITARY,
ACQUIRING TSID/ONID,,,,ACQUIRING TSID/ONID,SOLITARY,
AFP,,,,'',SOLITARY,
AFP Setup,,,,AFP Setup,SOLITARY,
AGC:,,,,'',SOLITARY,
ASS file,,,,'',SOLITARY,
ATSC,,,,'',SOLITARY,
AV aspect is %s.,,,,AV aspect is %s.,SOLITARY,
Abort,,,,Abort,SOLITARY,
Abort alternatives edit,,,,Abort alternatives edit,SOLITARY,
Abort bouquet edit,,,,Abort bouquet edit,SOLITARY,
Abort favourites edit,,,,Abort favourites edit,SOLITARY,
About,,,,About,SOLITARY,
Accesspoint:,,,,Accesspoint:,SOLITARY,
Activate,,,,Activate,SOLITARY,
Activate HbbTV (RedButton),,,,Activate HbbTV (RedButton),SOLITARY,
Activate MAC address configuration,,,,Activate MAC address configuration,SOLITARY,
Activate Picture in Picture,,,,Activate Picture in Picture,SOLITARY,
Activate current configuration,,,,Activate current configuration,SOLITARY,
Activate network adapter configuration,,,,Activate network adapter configuration,SOLITARY,
Activate network settings,,,,Activate network settings,SOLITARY,
Activate the configured network settings.,,,,Activate the configured network settings.,SOLITARY,
Activate timeshift end,,,,Activate timeshift end,SOLITARY,
Activate timeshift end and pause,,,,Activate timeshift end and pause,SOLITARY,
Active,,,,Active,SOLITARY,
Active clients,,,,Active clients,SOLITARY,
Adapter settings,,,,Adapter settings,SOLITARY,
Adaptive date display allows recent dates to be displayed as 'Today' or 'Yesterday'.  It hides the year for recordings made this year.  It hides the day of the week for recordings made in previous years.,,,,'',SOLITARY,
Add,,,,Add,SOLITARY,
Add AutoTimer,,,,Add AutoTimer,SOLITARY,
Add Timer,,,,Add Timer,SOLITARY,
Add a mark,,,,Add a mark,SOLITARY,
Add a nameserver entry,,,,Add a nameserver entry,SOLITARY,
Add a new title,,,,Add a new title,SOLITARY,
Add a record timer,,,,Add a record timer,SOLITARY,
Add a record timer for current event,,,,Add a record timer for current event,SOLITARY,
Add a zap timer for current event,,,,Add a zap timer for current event,SOLITARY,
Add a zap timer for next event,,,,Add a zap timer for next event,SOLITARY,
Add alternatives,,,,Add alternatives,SOLITARY,
Add bookmark,,,,Add bookmark,SOLITARY,
Add bouquet,,,,Add bouquet,SOLITARY,
Add bouquet to parental protection,,,,Add bouquet to parental protection,SOLITARY,
Add directory to playlist,,,,Add directory to playlist,SOLITARY,
Add file to playlist,,,,Add file to playlist,SOLITARY,
Add files to playlist,,,,Add files to playlist,SOLITARY,
Add marker,,,,Add marker,SOLITARY,
Add provider,,,,Add provider,SOLITARY,
Add recording (enter recording duration),,,,Add recording (enter recording duration),SOLITARY,
Add recording (enter recording endtime),,,,Add recording (enter recording endtime),SOLITARY,
Add recording (indefinitely),,,,Add recording (indefinitely),SOLITARY,
Add recording (stop after current event),,,,Add recording (stop after current event),SOLITARY,
Add service,,,,Add service,SOLITARY,
Add service to bouquet,,,,Add service to bouquet,SOLITARY,
Add service to favourites,,,,Add service to favourites,SOLITARY,
Add timer,,,,Add timer,SOLITARY,
Add title,,,,Add title,SOLITARY,
Add to bouquet,,,,Add to bouquet,SOLITARY,
Add to favourites,,,,Add to favourites,SOLITARY,
Add to parental protection,,,,Add to parental protection,SOLITARY,
Add/Remove timer for current event,,,,Add/Remove timer for current event,SOLITARY,
Adding schedule...,,,,Adding schedule...,SOLITARY,
Additional Info,,,,Additional Info,SOLITARY,
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move the dish from one satellite to another satellite.,,,,'',SOLITARY,
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move to another satellite.,,,,'',SOLITARY,
Address,,,,Address,SOLITARY,
"Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.",,,,"Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.",SOLITARY,
"Adult Audience, Strong Violence 15+",,,,'',SOLITARY,
Advanced,,,,Advanced,SOLITARY,
Advanced options,,,,Advanced options,SOLITARY,
Advanced restore,,,,Advanced restore,SOLITARY,
Advanced software,,,,Advanced software,SOLITARY,
Advanced software plugin,,,,Advanced software plugin,SOLITARY,
Advanced video enhancement setup,,,,Advanced video enhancement setup,SOLITARY,
Afghanistan,,,,'',SOLITARY,
After event,,,,After event,SOLITARY,
Aland Islands,,,,'',SOLITARY,
Albania,,,,'',SOLITARY,
Album,,,,Album,SOLITARY,
Algeria,,,,'',SOLITARY,
Alias,,,,Alias,SOLITARY,
Alignment of events,,,,'',SOLITARY,
Alignment of timeline date,,,,'',SOLITARY,
All,,,,All,SOLITARY,
All ages,,,,All ages,SOLITARY,
All frequency,,,,All frequency,SOLITARY,
All resolutions,,,,All resolutions,SOLITARY,
All satellites 1 (USALS),,,,All satellites 1 (USALS),SOLITARY,
All satellites 2 (USALS),,,,All satellites 2 (USALS),SOLITARY,
All satellites 3 (USALS),,,,All satellites 3 (USALS),SOLITARY,
All satellites 4 (USALS),,,,All satellites 4 (USALS),SOLITARY,
Allocate,,,,Allocate,SOLITARY,
Allocate a number to the physical LNB you are configuring. You will be able to select this LNB again for other satellites (e.g. motorised dishes) to save setting up the same LNB multiple times.,,,,'',SOLITARY,
Allocate unused memory index,,,,Allocate unused memory index,SOLITARY,
Allow 10bit,,,,'',SOLITARY,
Allow 12bit,,,,'',SOLITARY,
Allow subtitle language to equal audio language,,,,Allow subtitle language to equal audio language,SOLITARY,
Allow subtitles for hearing impaired,,,,Allow subtitles for hearing impaired,SOLITARY,
Allow unstable (experimental) updates,,,,Allow unstable (experimental) updates,SOLITARY,
Allows the %s %s to read the stored EPG data regularly.,,,,Allows the %s %s to read the stored EPG data regularly.,SOLITARY,
Allows the %s %s to store the EPG data regularly.,,,,Allows the %s %s to store the EPG data regularly.,SOLITARY,
Allows you to adjust the amount of time the resolution infomation display on screen.,,,,Allows you to adjust the amount of time the resolution infomation display on screen.,SOLITARY,
Allows you to enable the debug logs. They contain very detailed information about everything the system does. Reboot required to enable this!,,,,Allows you to enable the debug logs. They contain very detailed information about everything the system does. Reboot required to enable this!,SOLITARY,
Allows you to enable/disable displaying icons on the front panel.,,,,Allows you to enable/disable displaying icons on the front panel.,SOLITARY,
Allows you to hide the extensions of known file types.,,,,Allows you to hide the extensions of known file types.,SOLITARY,
Allows you to send a copy of the log to yourself.,,,,Allows you to send a copy of the log to yourself.,SOLITARY,
Allows you to set a schedule to import the EPG and channels list. The EPG and channels list will always be imported on reboot or GUI restart.,,,,'',SOLITARY,
Allows you to setup the button to do what you choose.,,,,Allows you to setup the button to do what you choose.,SOLITARY,
Allows you to show/hide CCcam Info in extensions (blue button).,,,,Allows you to show/hide CCcam Info in extensions (blue button).,SOLITARY,
Allows you to show/hide Log Manager in extensions (blue button).,,,,Allows you to show/hide Log Manager in extensions (blue button).,SOLITARY,
Allows you to show/hide OScam Info in extensions (blue button).,,,,Allows you to show/hide OScam Info in extensions (blue button).,SOLITARY,
Alpha,,,,Alpha,SOLITARY,
Alphanumeric,,,,Alphanumeric,SOLITARY,
Also on standby,,,,Also on standby,SOLITARY,
Alternative,,,,Alternative,SOLITARY,
Alternative numbering mode,,,,Alternative numbering mode,SOLITARY,
Alternative radio mode,,,,Alternative radio mode,SOLITARY,
Alternative services tuner priority,,,,Alternative services tuner priority,SOLITARY,
Always ask,,,,Always ask,SOLITARY,
Always hide infobar,,,,Always hide infobar,SOLITARY,
Always show bouquets,,,,Always show bouquets,SOLITARY,
American Samoa,,,,'',SOLITARY,
An empty filename is illegal.,,,,An empty filename is illegal.,SOLITARY,
An error occurred while downloading the packetlist. Please try again.,,,,An error occurred while downloading the packetlist. Please try again.,SOLITARY,
An unknown error occurred!,,,,An unknown error occurred!,SOLITARY,
Andorra,,,,'',SOLITARY,
Angola,,,,'',SOLITARY,
Anguilla,,,,'',SOLITARY,
Animation Speed,,,,Animation Speed,SOLITARY,
Animations,,,,Animations,SOLITARY,
Antarctica,,,,'',SOLITARY,
Antigua and Barbuda,,,,'',SOLITARY,
Any activity,,,,Any activity,SOLITARY,
Arabic,,,,Arabic,SOLITARY,
Are You Sure ?,,,,'',SOLITARY,
"Are you ready to install \""%s\"" ?",,,,"Are you ready to install \""%s\"" ?",SOLITARY,
"Are you ready to remove \""%s\"" ?",,,,"Are you ready to remove \""%s\"" ?",SOLITARY,
Are you sure to remove this entry?,,,,Are you sure to remove this entry?,SOLITARY,
Are you sure you want to activate this network configuration?\n\n,,,,Are you sure you want to activate this network configuration?\n\n,SOLITARY,
Are you sure you want to delete\nthe following backup:\n,,,,Are you sure you want to delete\nthe following backup:\n,SOLITARY,
Are you sure you want to delete all the selected logs:\n,,,,Are you sure you want to delete all the selected logs:\n,SOLITARY,
Are you sure you want to delete the EPG data from:\n,,,,Are you sure you want to delete the EPG data from:\n,SOLITARY,
Are you sure you want to delete this log:\n,,,,Are you sure you want to delete this log:\n,SOLITARY,
Are you sure you want to delete this:\n ,,,,Are you sure you want to delete this:\n ,SOLITARY,
Are you sure you want to exit this wizard?,,,,Are you sure you want to exit this wizard?,SOLITARY,
Are you sure you want to purge all deleted user bouquets?,,,,Are you sure you want to purge all deleted user bouquets?,SOLITARY,
Are you sure you want to reload the EPG data from:\n,,,,Are you sure you want to reload the EPG data from:\n,SOLITARY,
Are you sure you want to remove all %d.%d%s%s services?,,,,Are you sure you want to remove all %d.%d%s%s services?,SOLITARY,
Are you sure you want to remove all cable services?,,,,Are you sure you want to remove all cable services?,SOLITARY,
Are you sure you want to remove all terrestrial services?,,,,Are you sure you want to remove all terrestrial services?,SOLITARY,
Are you sure you want to remove this entry?,,,,Are you sure you want to remove this entry?,SOLITARY,
Are you sure you want to restart your network interfaces?\n\n,,,,Are you sure you want to restart your network interfaces?\n\n,SOLITARY,
Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,,,,Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,SOLITARY,
Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,,,,Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,SOLITARY,
Are you sure you want to save the EPG Cache to:\n,,,,Are you sure you want to save the EPG Cache to:\n,SOLITARY,
Are you sure you want to send this log:\n,,,,Are you sure you want to send this log:\n,SOLITARY,
Are you sure you want to update your %s %s ?,,,,Are you sure you want to update your %s %s ?,SOLITARY,
Argentina,,,,'',SOLITARY,
Armenia,,,,'',SOLITARY,
Artist,,,,Artist,SOLITARY,
Arts/Culture,,,,Arts/Culture,SOLITARY,
Aruba,,,,'',SOLITARY,
Ask user,,,,Ask user,SOLITARY,
Ask user (with default as 'no'),,,,Ask user (with default as 'no'),SOLITARY,
Ask user (with default as 'yes'),,,,Ask user (with default as 'yes'),SOLITARY,
Aspect ratio,,,,Aspect ratio,SOLITARY,
Assigned CAIds:,,,,Assigned CAIds:,SOLITARY,
Assigned services/provider:,,,,Assigned services/provider:,SOLITARY,
At End:,,,,At End:,SOLITARY,
Attach a file,,,,Attach a file,SOLITARY,
"Attention, this is repeated timer!\n",,,,"Attention, this is repeated timer!\n",SOLITARY,
Audio,,,,Audio,SOLITARY,
Audio & video,,,,'',SOLITARY,
Audio PID,,,,Audio PID,SOLITARY,
Audio language selection 1,,,,Audio language selection 1,SOLITARY,
Audio language selection 2,,,,Audio language selection 2,SOLITARY,
Audio language selection 3,,,,Audio language selection 3,SOLITARY,
Audio language selection 4,,,,Audio language selection 4,SOLITARY,
Audio options...,,,,Audio options...,SOLITARY,
Audio track (%s) format,,,,Audio track (%s) format,SOLITARY,
Audio track (%s) language,,,,Audio track (%s) language,SOLITARY,
Author: ,,,,Author: ,SOLITARY,
Authoring mode,,,,Authoring mode,SOLITARY,
Auto,,,,Auto,SOLITARY,
Auto Deep Standby,,,,Auto Deep Standby,SOLITARY,
Auto EXIF Orientation rotation/flipping,,,,Auto EXIF Orientation rotation/flipping,SOLITARY,
Auto Standby,,,,Auto Standby,SOLITARY,
Auto Volume Level,,,,Auto Volume Level,SOLITARY,
Auto chapter split every ? minutes (0=never),,,,Auto chapter split every ? minutes (0=never),SOLITARY,
Auto flesh,,,,Auto flesh,SOLITARY,
Auto focus,,,,Auto focus,SOLITARY,
Auto focus commencing ...,,,,Auto focus commencing ...,SOLITARY,
Auto play blu-ray file,,,,Auto play blu-ray file,SOLITARY,
Auto scart switching,,,,Auto scart switching,SOLITARY,
Automatic,,,,Automatic,SOLITARY,
Automatic Scan,,,,Automatic Scan,SOLITARY,
