msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
Antarctica,'',,'','',EMPTY (SOME),
Antigua and Barbuda,'',,'','',EMPTY (SOME),
Any activity,'',Any activity,Any activity,Any activity,INCOMPLETE (ALL),
Arabic,العربية (Arabic),Arabic,Arabic,Arabic,MISMATCH (ALL),
Are you sure to purge all deleted user bouquets?,,,'',,SOLITARY,
Are you sure to reboot to,,,'',,SOLITARY,
Are you sure to remove all %d.%d%s%s services?,Are you sure you want to remove all %d.%d%s%s channels?,'','',,INCOMPLETE (SOME),
Are you sure to remove all cable services?,Are you sure you want to remove all cable channels?,'','',,INCOMPLETE (SOME),
Are you sure to remove all terrestrial services?,Are you sure you want to remove all terrestrial channels?,'','',,INCOMPLETE (SOME),
Are you sure to remove this entry?,Are you sure you want to remove this entry?,,'',Are you sure to remove this entry?,MISMATCH (SOME),
Are you sure you want to activate this network configuration?\n\n,Activate this network configuration?\n\n,Are you sure you want to activate this network configuration?\n\n,Are you sure you want to activate this network configuration?\n\n,Are you sure you want to activate this network configuration?\n\n,MISMATCH (ALL),
Are you sure you want to delete\nthe following backup:\n,Are you sure you want to delete this backup?\n,Are you sure you want to delete\nthe following backup:\n,Are you sure you want to delete\nthe following backup:\n,Are you sure you want to delete\nthe following backup:\n,MISMATCH (ALL),
Are you sure you want to exit this wizard?,Are you sure you want to exit the wizard?,Are you sure you want to exit this wizard?,Are you sure you want to exit this wizard?,Are you sure you want to exit this wizard?,MISMATCH (ALL),
Are you sure you want to restart your network interfaces?\n\n,Are you sure you want to restart your receiver's network interface?\n\n,Are you sure you want to restart your network interfaces?\n\n,Are you sure you want to restart your network interfaces?\n\n,Are you sure you want to restart your network interfaces?\n\n,MISMATCH (ALL),
Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,Are you sure you want to restore this backup?\n%s\n\nYour receiver will restart after the backup has been restored!,Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,MISMATCH (ALL),
Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,Are you sure you want to restore the backup?\n\nYour receiver will restart after the backup has been restored!,Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,MISMATCH (ALL),
Argentina,'',,'','',EMPTY (SOME),
Armenia,'',,'','',EMPTY (SOME),
Artist,'',Artist,Artist,Artist,INCOMPLETE (ALL),
Arts/Culture,'',Arts/Culture,Arts/Culture,Arts/Culture,INCOMPLETE (ALL),
Aruba,'',,'','',EMPTY (SOME),
